TenantId,TimeGenerated,SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,SourceComputerId,EventOriginId,MG,TimeCollected,ManagementGroupName,Type,"_ResourceId"
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.437Z",OpsManager,"PHSWA\n8345143",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"PHSWA\n8345143",PHSWA,,,,0x210f412c8,,,,,,n8345143,"S-1-5-21-420551719-245851362-9522986-536576",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","9f095b03-7b98-45a3-b33b-24aff7e45370","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.437Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"AD\servInfobloxSyncDNS",AD,,,,0x210f4114b,,,,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","a0b79935-9aab-4bec-b45b-c66c3811ef10","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.437Z",OpsManager,"PHSWA\SETC012192",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12544,8,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,null,null,Kerberos,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,"%%1833",,"10.227.182.172",61549,0,"-",,,,,,"7736493d-d09c-6f9b-873c-31f1c6254cf1",,,Kerberos,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-",0x0,"-",,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,"-\-",,,,"-",,0x0,,,"-","S-1-0-0",,,"PHSWA\SETC012192",PHSWA,,,,0x210f4165d,,,,,,SETC012192,"S-1-5-21-420551719-245851362-9522986-548471",,,,,,,,"-",,,,,,,,"-","17784e06-f029-48b9-af31-001560eb6c40","6a6d91a2-4919-4372-ae9c-73238263167e","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.437Z",OpsManager,"PHSWA\WWA143565$",Machine,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"PHSWA\WWA143565$",PHSWA,,,,0x210f415bc,,,,,,"WWA143565$","S-1-5-21-420551719-245851362-9522986-206509",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","871aca6e-c298-47d6-8e91-0aeaeb86cb40","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"AD\servInfobloxSyncDNS",AD,,,,0x210f41216,,,,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","f723e1b4-3fd5-46f6-b1a2-a5246f96f322","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"AD\servInfobloxSyncDNS",AD,,,,0x210f40f08,,,,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","84fa9ab5-6032-4b41-8621-488bb23e4056","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"AD\servInfobloxSyncDNS",AD,,,,0x210f40f9d,,,,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","d676d280-8e52-44d5-b3c2-e6a284327484","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"PHSWA\SETC012192",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12545,8,,4634,"4634 - An account was logged off.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,"PHSWA\SETC012192",PHSWA,,,,0x210f4165d,,,,,,SETC012192,"S-1-5-21-420551719-245851362-9522986-548471",,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","fcf6818c-bd9d-4c75-a30a-fbd2af3c2b69","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12548,8,,4672,"4672 - Special privileges assigned to new logon.",,,,,,,,,,,,,,,,,,null,null,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeTcbPrivilege 			SeEnableDelegationPrivilege",,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,"AD\servInfobloxSyncDNS",,,,AD,,0x210f416e7,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17784e06-f029-48b9-af31-001560eb6c40","11b871c1-1804-4f8a-9355-60b331bb5c33","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
"552b9630-b106-4fe7-a1fa-97d04a0010ef","2020-10-16T14:45:28.453Z",OpsManager,"AD\servInfobloxSyncDNS",User,"WN77043.wa.providence.org","Microsoft-Windows-Security-Auditing",Security,12544,8,,4624,"4624 - An account was successfully logged on.",,,,,,,,,,,,,,,,,,null,null,NTLM,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,"%%1833",,"170.173.166.32",47785,128,"NTLM V2",,,,,,"00000000-0000-0000-0000-000000000000",,,"NtLmSsp ",3,"3 - Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-",0x0,"-",,,,,,,,,,,,,,,,,,,,,,,null,,,,,,,"-\-",,,,"-",,0x0,,,"-","S-1-0-0",,,"AD\servInfobloxSyncDNS",AD,,,,0x210f416e7,,,,,,servInfobloxSyncDNS,"S-1-5-21-1078081533-725345543-682003330-38622",,,,,,,,"-",,,,,,,,LX6037,"17784e06-f029-48b9-af31-001560eb6c40","c2f5de17-a10e-4d08-bfb8-1c4e9acf20f5","00000000-0000-0000-0000-000000000001","2020-10-16T14:45:29.297Z","AOI-552b9630-b106-4fe7-a1fa-97d04a0010ef",SecurityEvent,
